Original	Conversed	Publish	TCRV
NAIVE_1	0_NAIVE_1	T-cell-1	NAIVE_1
NAIVE_2	0_NAIVE_2	T-cell-2	NAIVE_2
NAIVE_3	0_NAIVE_3	T-cell-3	NAIVE_3
NAIVE_4	0_NAIVE_4	T-cell-4	NAIVE_4
TEFF_1	0_TEFF_1	T-cell-5	TEFF_1
TEFF_2	0_TEFF_2	T-cell-6	TEFF_2
TEFF_3	0_TEFF_3	T-cell-7	TEFF_3
TFH_1	0_TFH_1	T-cell-8	TFH_1
TFH_2	0_TFH_2	T-cell-9	TFH_2
TFH_3	0_TFH_3	T-cell-10	TFH_3
NKCOD12	1_NormalNK.NKCOD12	NK-cell-1	NKCOD12
PBNK48h	1_NormalNK.PBNK48h	NK-cell-2	PBNK48h
RestingNK	1_NormalNK.RestingNK	NK-cell-3	RestingNK
Rab.AITL.SRR1213006	AITL.Rab.SRR1213006	AITL-1	Rab.AITL.SRR1213006
Rab.AITL.SRR1213009	AITL.Rab.SRR1213009	AITL-2	Rab.AITL.SRR1213009
Rab.AITL.SRR1213010	AITL.Rab.SRR1213010	AITL-3	Rab.AITL.SRR1213010
Rab.AITL.SRR1213012	AITL.Rab.SRR1213012	AITL-4	Rab.AITL.SRR1213012
Rab.AITL.SRR1213015	AITL.Rab.SRR1213015	AITL-5	Rab.AITL.SRR1213015
Rab.AITL.SRR1213021	AITL.Rab.SRR1213021	AITL-6	Rab.AITL.SRR1213021
Rab.AITL.SRR1213023	AITL.Rab.SRR1213023	AITL-7	Rab.AITL.SRR1213023
Rab.AITL.SRR1213027	AITL.Rab.SRR1213027	AITL-8	Rab.AITL.SRR1213027
Rab.AITL.SRR1213030	AITL.Rab.SRR1213030	AITL-9	Rab.AITL.SRR1213030
Rab.AITL.SRR1213034	AITL.Rab.SRR1213034	AITL-10	Rab.AITL.SRR1213034
Rab.AITL.SRR1213036	AITL.Rab.SRR1213036	AITL-11	Rab.AITL.SRR1213036
Yoo.PAT1.RNA	AITL.Yoo.PAT1.RNA	AITL-12	Yoo.PAT1.RNA
Yoo.PAT2.RNA	AITL.Yoo.PAT2.RNA	AITL-13	Yoo.PAT2.RNA
Yoo.PAT3.RNA	AITL.Yoo.PAT3.RNA	AITL-14	Yoo.PAT3.RNA
Yoo.PAT4.RNA	AITL.Yoo.PAT4.RNA	AITL-15	Yoo.PAT4.RNA
Yoo.PAT5.RNA	AITL.Yoo.PAT5.RNA	AITL-16	Yoo.PAT5.RNA
Yoo.PAT6.RNA	AITL.Yoo.PAT6.RNA	AITL-17	Yoo.PAT6.RNA
Yoo.PAT7.RNA	AITL.Yoo.PAT7.RNA	AITL-18	Yoo.PAT7.RNA
Yoo.PAT8.RNA	AITL.Yoo.PAT8.RNA	AITL-19	Yoo.PAT8.RNA
Yoo.PAT9.RNA	AITL.Yoo.PAT9.RNA	AITL-20	Yoo.PAT9.RNA
AITL-5-594-7682	AITL-5-594-7682	AITL-21	AITL.5.594.7682
AITL-6-592-4180	AITL-6-592-4180	AITL-22	AITL.6.592.4180
AITL-6878	AITL-6878	AITL-23	AITL.6878
AITL-7-592-5182	AITL-7-592-5182	AITL-24	AITL.7.592.5182
AITL-CS88-172	AITL-CS88-172	AITL-25	AITL.CS88.172
AITL-JP116	AITL-JP116	AITL-26	AITL.JP116
AITL-JP188	AITL-JP188	AITL-27	AITL.JP188
AITL-JP29	AITL-JP29	AITL-28	AITL.JP29
