Type	Gene	PTCL-NOS1	PTCL-S90-4769	PTCL-S93-6748	PTCL-S98-1772	PTCL-SC03-4238	PTCL-SPECS-3375	PTCL-SPECS-3379	PTCL-SPECS-3390	PTCL-SPECS-3392	PTCL-SPECS-3393	Rab.pNOS.SRR1213005	Rab.pNOS.SRR1213008	Rab.pNOS.SRR1213011	Rab.pNOS.SRR1213014	Rab.pNOS.SRR1213024	Rab.pNOS.SRR1213025	Rab.pNOS.SRR1213028	Rab.pNOS.SRR1213031	Rab.pNOS.SRR1213035	Rab.pNOS.SRR1213038	Abate.SRR1522989	Abate.SRR1522990	Abate.SRR1522991	Abate.SRR1522992	Abate.SRR1522993	Abate.SRR1522994	Abate.SRR1522996	Abate.SRR1522997	Abate.SRR1522998	Abate.SRR1522999	Abate.SRR1523000	Abate.SRR1523001	Abate.SRR1523002	Abate.SRR1523003	Abate.SRR1523004	Abate.SRR1523005	Abate.SRR1523006	Abate.SRR1523007	Abate.SRR1523008	Abate.SRR1523009	Abate.SRR1523010	Abate.SRR1523011	Abate.SRR1523012	Rab.ALCL.SRR1213007	Rab.ALCL.SRR1213013	Rab.ALCL.SRR1213016	Rab.ALCL.SRR1213017	Rab.ALCL.SRR1213018	Rab.ALCL.SRR1213019	Rab.ALCL.SRR1213020	Rab.ALCL.SRR1213022	Rab.ALCL.SRR1213026	Rab.ALCL.SRR1213029	Rab.ALCL.SRR1213032	Rab.ALCL.SRR1213037	NAIVE_1	NAIVE_2	NAIVE_3	NAIVE_4	TEFF_1	TEFF_2	TEFF_3	TFH_1	TFH_2	TFH_3	AITL-5-594-7682	AITL-6-592-4180	AITL-6878	AITL-7-592-5182	AITL-CS88-172	AITL-JP116	AITL-JP188	AITL-JP29	AITL-JP31	AITL-JP87	AITL-Ly17	AITL-Ly19	AITL-Ly20	AITL-Ly21	AITL-Ly23	AITL-Ly24	AITL-Ly27	AITL-S02-9037	AITL-SC04-1774	AITL-SC04-3216	Rab.AITL.SRR1213006	Rab.AITL.SRR1213009	Rab.AITL.SRR1213010	Rab.AITL.SRR1213012	Rab.AITL.SRR1213015	Rab.AITL.SRR1213021	Rab.AITL.SRR1213023	Rab.AITL.SRR1213027	Rab.AITL.SRR1213030	Rab.AITL.SRR1213034	Rab.AITL.SRR1213036	Yoo.PAT13.RNA	Yoo.PAT1.RNA	Yoo.PAT2.RNA	Yoo.PAT3.RNA	Yoo.PAT4.RNA	Yoo.PAT5.RNA	Yoo.PAT6.RNA	Yoo.PAT7.RNA	Yoo.PAT8.RNA	Yoo.PAT9.RNA	gdTL-95-9388	Chan-12	Chan-147	Chan-148	Chan-190	Chan-454	Chan-528	Chan-53	Chan-565	Chan-579	KHYG1	NK-4955	NK-8878	NK-88-9378	NK-89-1182	NK-91-1186	NKCOD12	NK-Hk10	NK-Hk7	NK-LKK	NKYS	PBNK48h	PMIG-NK92	PRDM1-NK92	RestingNK	Fe_PD	Karpas299	L82	MAC1	SUDHL1	TS
AJ	TRAJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3336.68	0	0	0	0	0	0	42.6656	0	23.0554	0	1854.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.4049	0	0	0	2609.56	140771	0	2721.83	6054.03	4033.76	95.1617	60.8833	1049.17	8.54485	3550.62	1456.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.762	2538.76	0	0	0	0	8039.84	0	155.248	62.2697	1803.43	0	7909.72	2441.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.459	0	401.285	0	2211.71	0	0	0	8039.84	7268.36	362.246	62.2697	14425.6	0	0	4883.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3302.52	2938.98	0	0	0	13748.6	0	170.589	143.527	2373.86	0	3983.21	1637.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2211.71	0	0	0	0	0	0	0	5409.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.38	1651.26	4408.47	0	1196.46	0	1718.57	0	28.4315	35.8888	0	0	3983.21	1637.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.1107	40.4538	0	0	1166.09	1052.81	987.669	0	0	12001.4	0	136.417	647.631	0	0	958.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.7795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278.708	5424.59	0	4474.73	0	0	0	0	24021	6686.96	109.905	125.623	0	32.5616	3327.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5886.46	0	0	0	24431.9	23511	0	0	0	0	5245.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.2561	0	0	79.19	1651.26	1469.49	0	0	1515.88	10311.4	2296.64	113.726	35.8888	0	9.86734	1327.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484.329	70.7894	0	0	1651.26	0	0	0	0	8592.86	0	56.863	0	2373.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.579	0	0	0	0	0	0	0	1718.57	4593.27	28.4315	35.8888	0	0	2655.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ	TRAJ26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3242.41	0	0	2211.71	0	17137.9	2205.59	10719.8	0	51.7494	0	1803.43	16.4076	0	2441.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
