SampleID	TRA.reads	TRB.reads	TRG.reads	TRD.reads	TRA.rpm	TRB.rpm	TRG.rpm	TRD.rpm	MillionsOfReads	TRAV.fpkm	TRBV.fpkm	TRDV.fpkm	TRGV.fpkm	CD247.fpkm	CD3D.fpkm	CD3E.fpkm	CD3G.fpkm	Type
0_NAIVE_1	3508	6313	15	332	40.6658667	73.18233082	0.173884835	3.848651011	86.263992	428.394	870.083	2794.58	9.81055	92.6811	2240.48	478.239	970.862	01.Normal_T
0_NAIVE_2	3236	4778	7	275	32.77544781	48.3934146	0.070898682	2.785305361	98.732442	319.853	674.055	1483.29	14.7644	184.04	1184.41	361.465	644.435	01.Normal_T
0_NAIVE_3	1478	2375	10	114	27.22083624	43.7411949	0.184173452	2.099577355	54.296642	319.421	756.619	1749.26	17.8414	162.056	982.389	333.839	452.528	01.Normal_T
0_NAIVE_4	1320	2907	18	130	21.89773684	48.22478863	0.298605502	2.156595295	60.280202	379.305	1675.29	1056.93	28.0657	154.273	616.031	479.125	394.168	01.Normal_T
0_TEFF_1	3184	6188	14	279	40.3381155	78.3958099	0.177366086	3.534652709	78.93279	403.977	757.051	642.925	13.9073	97.9577	1297.44	322.675	675.803	01.Normal_T
0_TEFF_2	2033	3898	17	174	35.16435557	67.42285195	0.294045275	3.009639877	57.814226	355.25	927.784	930.701	18.0936	125.447	1033.03	246.446	502.562	01.Normal_T
0_TEFF_3	1846	3684	16	170	28.98792598	57.85022714	0.251249629	2.669527311	63.681686	528.106	809.844	1743.09	18.0012	109.003	733.096	420.743	430.514	01.Normal_T
0_TFH_1	4702	11873	104	403	56.6375976	143.0153544	1.252724405	4.854307068	83.019058	503.325	1304.92	936.718	40.7278	166.258	2094.92	324.209	567.591	01.Normal_T
0_TFH_2	4724	11187	70	378	51.67924961	122.3826768	0.765780583	4.135215146	91.409996	567.532	1543.84	1053.5	26.0019	113.497	2043.2	401.513	740.438	01.Normal_T
0_TFH_3	2144	5820	89	210	29.96811359	81.35000984	1.244012178	2.935309634	71.542708	546.624	1011.27	379.104	72.5511	101.811	777.463	289.455	432.182	01.Normal_T
1_NormalNK.NKCOD12	70	36	46	36	0.859375079	0.441964326	0.564732195	0.441964326	81.454538	4.15709	2.86778	22.927	40.2197	2.47673	13.8558	266.284	163.427	06.Normal_NK
1_NormalNK.PBNK48h	5	2	3	11	0.04505366	0.018021464	0.027032196	0.099118051	110.978776	0.595751	0.870717	6.39251	86.3353	2.63623	9.75753	338.905	153.984	06.Normal_NK
1_NormalNK.RestingNK	2	2	4	2	0.01974835	0.01974835	0.0394967	0.01974835	101.274284	4.74987	0.414444	0.810282	31.1923	2.00459	8.08946	679.036	118.69	06.Normal_NK
AITL.Rab.SRR1213006	1600	2101	90	198	32.76082025	43.0190521	1.842796139	4.054151506	48.838826	307.767	524.349	113.987	40.9111	101.443	296.835	88.5726	230.784	02.AITL
AITL.Rab.SRR1213009	2952	2510	91	74	54.07522193	45.97859317	1.66695298	1.355544181	54.590622	449.572	1129.22	15.8406	41.2418	81.944	379.282	67.2843	245.395	02.AITL
AITL.Rab.SRR1213010	1640	1148	32	71	31.84911783	22.29438248	0.621446202	1.37883376	51.492792	136.349	169.226	18.3696	22.6373	62.7317	220.382	70.8035	187.093	02.AITL
AITL.Rab.SRR1213012	1663	2307	172	207	28.89421274	40.0835531	2.988457361	3.596573685	57.554778	244.434	464.956	73.31	46.8174	80.9642	221.286	79.4398	196.916	02.AITL
AITL.Rab.SRR1213015	1782	2210	28	112	36.50372186	45.27117021	0.573571387	2.294285549	48.81694	125.376	2111.12	13.2531	15.509	93.2396	318.115	29.3938	257.437	02.AITL
AITL.Rab.SRR1213021	1762	672	287	121	32.19746924	12.27962504	5.244423195	2.211063438	54.724798	1013.53	163.987	83.4563	170.506	103.21	477.33	56.6946	260.852	02.AITL
AITL.Rab.SRR1213023	1335	2209	54	143	23.43087716	38.77064243	0.947765818	2.509824295	56.9761	200.162	178.49	11.9071	11.6116	52.1707	231.694	75.3169	201.432	02.AITL
AITL.Rab.SRR1213027	1184	843	20	33	23.9240647	17.03377241	0.404122714	0.666802479	49.489918	46.6951	51.3852	3.9902	7.42403	37.5674	472.555	95.2959	227.613	02.AITL
AITL.Rab.SRR1213030	4538	658	226	349	46.89055387	6.799026983	2.335228113	3.606170846	96.778554	208.186	45.877	9.15673	58.7311	188.911	526.035	77.6404	392.476	02.AITL
AITL.Rab.SRR1213034	2659	2142	169	451	64.26662213	51.77100587	4.084640519	10.90043121	41.37451	2821.02	2599.17	6.95432	219.839	131.513	302.775	89.0015	198.074	02.AITL
AITL.Rab.SRR1213036	1518	2466	149	147	25.91080933	42.09226337	2.543287609	2.50914952	58.585588	1182	2187.84	38.353	65.5988	73.9004	276.839	60.421	148.989	02.AITL
AITL.Yoo.PAT1.RNA	444	2520	23	35	8.554320591	48.5515493	0.44312922	0.674327074	51.903596	86.1065	1233.76	12.8543	6.52259	57.4483	490.402	47.3998	251.899	02.AITL
AITL.Yoo.PAT13.RNA	2542	1009	20	188	73.11208883	29.02049474	0.5752328	5.407188316	34.768532	909.544	82.2812	7.21361	9.00425	56.6061	393.945	51.9621	185.187	02.AITL
AITL.Yoo.PAT2.RNA	2344	1381	82	56	47.59414443	28.04074806	1.664982868	1.137061471	49.249756	396.661	409.944	7.36004	26.2172	61.4387	339.081	54.2836	179.307	02.AITL
AITL.Yoo.PAT3.RNA	2211	1623	38	80	29.53918313	21.68344379	0.507683835	1.068808074	74.849734	120.586	191.967	6.3642	13.9939	31.7383	173.293	42.2264	94.7668	02.AITL
AITL.Yoo.PAT4.RNA	3192	1048	36	69	39.45660346	12.95442369	0.444999287	0.8529153	80.899006	381.431	81.8076	20.247	7.93113	36.7661	119.548	35.7443	92.7525	02.AITL
AITL.Yoo.PAT5.RNA	4158	2631	82	134	59.72545767	37.79164962	1.177846929	1.924774249	69.618554	485.968	1324.77	12.0385	28.9805	59.9761	313.007	54.5473	169.15	02.AITL
AITL.Yoo.PAT6.RNA	1824	1119	23	66	45.5008718	27.91418615	0.573750028	1.646413124	40.087144	103.376	98.6832	5.53824	6.17963	29.2359	201.47	52.5694	144.544	02.AITL
AITL.Yoo.PAT7.RNA	1786	1830	74	31	36.46964821	37.36811658	1.511060452	0.633011811	48.97223	343.112	1681.27	5111.24	24.1043	56.0429	347.385	68.5025	189.982	02.AITL
AITL.Yoo.PAT8.RNA	1501	1083	18	50	34.49606761	24.88956777	0.413677027	1.149102852	43.512206	383.686	257.929	13.4921	4.59308	117.931	800.431	58.0208	348.18	02.AITL
AITL.Yoo.PAT9.RNA	1372	1791	106	70	34.39993008	44.90544808	2.657720545	1.755098473	39.883802	240.711	1043.77	25.8204	48.0159	52.1744	250.563	49.4437	158.4	02.AITL
AITL-5-594-7682	365	2279	20	8	4.639571164	28.96871968	0.254223077	0.101689231	78.671064	228.512	933.028	108.685	4.0439	53.0432	1270.53	78.6451	354.404	02.AITL
AITL-6-592-4180	942	375	13	54	10.95137959	4.359625635	0.151133689	0.627786091	86.01656	302.856	110.032	4.39531	4.27035	53.8028	1127.79	72.3842	253.694	02.AITL
AITL-6878	195	188	18	1	2.359085816	2.274400684	0.217761768	0.012097876	82.659138	322.289	221.562	3.64711	10.172	96.4563	817.995	43.475	99.6698	02.AITL
AITL-7-592-5182	539	1129	8	8	5.836541789	12.22533521	0.086627707	0.086627707	92.349206	114.781	1132.47	0.487065	8.1775	65.4939	1162.99	62.8676	207.366	02.AITL
AITL-CS88-172	309	182	66	9	3.36079944	1.979499994	0.717840657	0.097887362	91.94241	119.586	221.427	42.1105	7.15816	56.2889	282.765	31.5079	140.599	02.AITL
AITL-JP116	153	288	12	3	1.687446821	3.176370486	0.13234877	0.033087193	90.669524	19.6448	72.5816	7.6196	5.08091	35.0426	173.39	66.1472	188.7	02.AITL
AITL-JP188	363	712	14	10	3.988589163	7.823348441	0.153829885	0.109878489	91.009624	336.727	786.885	263.262	4.61735	39.1602	222.784	43.2101	210.106	02.AITL
AITL-JP29	29	195	7	0	0.425015846	2.857865175	0.102590032	0	68.23275	113.842	302.734	2.18984	3.05985	39.5061	612.528	45.8802	238.165	02.AITL
AITL-JP31	332	185	17	22	4.086344056	2.277029067	0.209240509	0.270781835	81.246218	240.866	398.377	813.58	6.91453	53.0063	335.007	49.1422	318.677	02.AITL
AITL-JP87	458	783	9	20	5.544522333	9.478954119	0.108953496	0.242118879	82.60405	111.53	146.112	25.3223	4.5323	61.4228	480.595	97.8198	472.81	02.AITL
AITL-Ly17	170	174	38	7	1.915223122	1.960287195	0.428108698	0.078862129	88.762504	11.988	150.01	2.55215	11.4748	39.4605	116.663	36.5498	118.083	02.AITL
AITL-Ly19	540	436	8	22	5.683061351	4.588545832	0.084193502	0.231532129	95.01921	168.759	46.4784	6.26328	4.97223	64.2383	381.395	50.0599	217.554	02.AITL
AITL-Ly20	883	981	10	27	10.48453837	11.64816777	0.118737694	0.320591773	84.219254	36.9286	249.278	3.57344	6.21728	62.505	402.035	70.9173	223.63	02.AITL
AITL-Ly21	475	228	22	11	5.267909929	2.528596766	0.243987407	0.121993704	90.168588	94.4543	280.049	21.2021	10.4188	45.0569	117.089	30.2572	137.554	02.AITL
AITL-Ly23	358	415	20	7	4.077330235	4.726514099	0.227783812	0.079724334	87.802552	79.9759	193.71	2.61042	5.37188	43.9123	248.615	47.5047	149.971	02.AITL
AITL-Ly24	245	234	25	5	2.830082777	2.703017836	0.288783957	0.057756791	86.569906	22.1261	83.9725	118.22	8.09846	44.2361	113.392	42.4445	139.897	02.AITL
AITL-Ly27	445	234	16	14	5.502777394	2.893595304	0.19785267	0.173121087	80.868254	217.503	53.0175	17.2368	4.86553	61.5487	210.813	56.2929	227.306	02.AITL
AITL-S02-9037	1638	2429	40	365	24.39014948	36.16829858	0.595608046	5.434923418	67.15826	206.453	367.815	2.0546	7.73084	52.1522	271.579	48.3245	248.004	02.AITL
AITL-SC04-1774	4684	3053	59	30	58.38589913	38.05554015	0.735432974	0.37394897	80.22485	1083.33	589.939	3.34635	5.90454	63.9339	315.268	58.8372	326.393	02.AITL
AITL-SC04-3216	2895	3277	33	373	44.70323905	50.60190479	0.509570601	5.75969194	64.760408	328.163	1007.78	3.26063	7.19995	40.8452	373.124	37.593	284.764	02.AITL
ALCL.Abate.SRR1522989	911	368	27	0	51.89246878	20.96205105	1.537976572	0	17.555534	1310.36	510.051	0	8.39249	36.1483	474.705	223.267	285.49	04.ALCL
ALCL.Abate.SRR1522990	31	15	1	0	1.798780937	0.870377873	0.058025192	0	17.233894	1.74263	7.29435	0	12.228	0	0	103.815	0	04.ALCL
ALCL.Abate.SRR1522991	80	82	5	7	4.456508709	4.567921426	0.278531794	0.389944512	17.951272	9.63393	16.8277	1.23952	6.24665	8.56797	178.513	559.733	48.6178	04.ALCL
ALCL.Abate.SRR1522992	218	167	4	20	8.686290245	6.654176472	0.159381472	0.796907362	25.09702	15.8793	38.7371	8517.79	6.76201	12.0893	146.022	30.6203	57.4241	04.ALCL
ALCL.Abate.SRR1522993	770	437	4	119	37.87426041	21.49487246	0.196749405	5.85329479	20.33043	713.034	428.272	1.76552	6.75425	8.43684	346.359	120.129	20.522	04.ALCL
ALCL.Abate.SRR1522994	160	170	3	16	11.54766747	12.26939669	0.216518765	1.154766747	13.855612	39.5205	61.6458	6.11831	3.90107	18.0223	280.8	57.462	95.1408	04.ALCL
ALCL.Abate.SRR1522996	49	83	9	4	2.67681628	4.534199005	0.491660133	0.218515615	18.305328	14.7701	13.6809	6.596	5.54016	9.34679	86.9323	19.732	42.2144	04.ALCL
ALCL.Abate.SRR1522997	514	425	2	3	19.22849876	15.89905053	0.074819061	0.112228592	26.731156	127.749	182.43	5.21974	1.9018	7.9875	69.0762	49.3257	23.4144	04.ALCL
ALCL.Abate.SRR1522998	2353	237	2	4	106.6984304	10.74693073	0.090691399	0.181382797	22.052808	17.4919	86.4431	0	2.71014	6.29781	93.0174	18.8091	31.5631	04.ALCL
ALCL.Abate.SRR1522999	137	64	2	5	6.82152355	3.186697133	0.099584285	0.248960714	20.08349	13.6397	13.548	0.676108	4.37072	6.80367	58.2478	9.11249	21.9818	04.ALCL
ALCL.Abate.SRR1523000	25	37	0	5	0.493434947	0.730283721	0	0.098686989	50.66524	9.80876	16.8237	1.78023	14.2659	1.09924	6.81227	69.9937	5.95253	04.ALCL
ALCL.Abate.SRR1523001	1489	2125	8	126	28.28456238	40.36581266	0.151965412	2.393455245	52.643558	205.068	298.896	31.3334	4.52782	27.1548	214.414	78.7182	131.632	04.ALCL
ALCL.Abate.SRR1523002	534	616	16	23	9.786266833	11.28902691	0.293221478	0.421505875	54.566262	317.595	447.834	0	8.87799	0.580593	135.836	103.365	4.3247	04.ALCL
ALCL.Abate.SRR1523003	404	295	1	9	7.177829773	5.241237087	0.017766905	0.159902148	56.284422	11.1247	17.5471	8.86715	4.25124	3.95305	45.4438	133.492	32.1525	04.ALCL
ALCL.Abate.SRR1523004	337	573	111	34	5.787358636	9.840226999	1.906221984	0.583887815	58.230364	287.605	348.472	4.45055	79.1883	4.66371	137.675	114.778	44.5072	04.ALCL
ALCL.Abate.SRR1523005	625	787	25	266	28.90230079	36.39377715	1.156092032	12.30081922	21.624576	299.262	1518.76	3.3321	7.41595	3.89895	503.598	110.648	26.7513	04.ALCL
ALCL.Abate.SRR1523006	221	260	1	0	10.9523456	12.88511247	0.049558125	0	20.178326	175.481	881.829	0	3.2956	0.616553	51.7144	59.7918	17.1534	04.ALCL
ALCL.Abate.SRR1523007	222	327	8	6	9.240980803	13.61171497	0.333008317	0.249756238	24.023424	182.632	624.371	3.28616	3.56157	5.79205	707.672	159.577	72.3806	04.ALCL
ALCL.Abate.SRR1523008	433	523	4	35	17.1437757	20.70714709	0.158372062	1.385755542	25.25698	48.7616	90.8415	8.66354	7.81126	20.6522	200.01	76.0081	103.323	04.ALCL
ALCL.Abate.SRR1523009	837	235	3	6	32.15763928	9.028727875	0.115260356	0.230520712	26.02803	7.75039	38.1997	1128.84	1.69206	4.70728	32.1398	39.2299	37.9886	04.ALCL
ALCL.Abate.SRR1523010	487	1221	5	100	21.79252904	54.63794241	0.223742598	4.474851958	22.347108	34.4409	2774.04	3.19263	4.08177	53.2925	392.109	68.9969	260.686	04.ALCL
ALCL.Abate.SRR1523011	315	152	1	6	12.84998882	6.200629527	0.040793615	0.244761692	24.51364	253.09	226.969	0	6.53589	5.2134	208.49	53.2674	15.1372	04.ALCL
ALCL.Abate.SRR1523012	530	572	4	12	21.28122448	22.96766113	0.160613015	0.481839045	24.904582	22.67	582.904	0	10.5512	3.79155	311.404	66.2546	36.4502	04.ALCL
ALCL.Rab.SRR1213007	490	1567	0	70	13.7811537	44.07156705	0	1.968736243	35.555804	1339.19	2415.95	676.511	3.5024	5.62592	535.395	411.31	112.504	04.ALCL
ALCL.Rab.SRR1213013	758	264	32	151	15.93274381	5.549135047	0.67262243	3.173937092	47.574982	436.295	12.0997	30.2909	8.38385	4.70346	102.296	64.2703	13.0834	04.ALCL
ALCL.Rab.SRR1213016	1719	4652	40	97	26.6506744	72.12270932	0.620143674	1.50384841	64.501182	85.1371	3650.08	17.864	16.3164	31.7728	66.9118	92.3246	82.6446	04.ALCL
ALCL.Rab.SRR1213017	1509	2941	162	161	24.2514623	47.26544111	2.603536709	2.587465494	62.223052	1594.05	1485.58	9024.29	67.4896	43.4154	148.622	117.483	77.2182	04.ALCL
ALCL.Rab.SRR1213018	1158	1170	67	66	20.87918234	21.09554692	1.208035593	1.190005211	55.461942	98.7285	166.338	19.2605	20.524	35.8583	123.949	75.871	79.7533	04.ALCL
ALCL.Rab.SRR1213019	1910	3497	39	117	33.06691213	60.54188047	0.675188258	2.025564774	57.761668	1177.28	4704.8	0	18.8955	11.5956	313.434	72.9794	203.78	04.ALCL
ALCL.Rab.SRR1213020	467	352	12	25	8.058888212	6.074365419	0.207080639	0.431417998	57.94844	22.6127	42.7556	15.9125	3.0279	12.6411	74.7581	39.4716	53.9973	04.ALCL
ALCL.Rab.SRR1213022	30	120	3	8	0.532171865	2.128687459	0.053217186	0.141912497	56.372766	30.1746	108.804	0	2.9031	0.330565	82.2402	62.2258	1.48173	04.ALCL
