"Original","TRA.FPKM1","TRA.FPKM2","TRA.FPKM3","TRA.FPKM.p1","TRA.FPKM.p2","TRA.FPKM.p3","TRA.top2","TRB.FPKM1","TRB.FPKM2","TRB.FPKM3","TRB.FPKM.p1","TRB.FPKM.p2","TRB.FPKM.p3","TRB.top2","TRA.FPKM.stat","TRB.FPKM.stat","Strand1","TRA.CDR3.1","TRA.CDR3.2","TRA.CDR3.3","TRA.p1","TRA.p2","TRA.p3","Strand2","TRB.CDR3.1","TRB.CDR3.2","TRB.CDR3.3","TRB.p1","TRB.p2","TRB.p3","TRA.CDR3.stat","TRB.CDR3.stat","TRA.con","TRB.con","cons"
"Rab.AITL.SRR1213006",307.767,107.407,103.643,0.164953485525725,0.0575667924756766,0.055549406207757,0.222520278001402,524.349,503.247,264.253,0.163585717922227,0.157002343452943,0.0824413066833393,0.32058806137517,FALSE,FALSE,"TRA",109,109,55,0.068125,0.068125,0.034375,"TRB",212,137,77,0.100904331,0.065207044,0.036649215,TRUE,TRUE,FALSE,FALSE,FALSE
"Rab.AITL.SRR1213034",2821.02,59.722,45.572,0.829100083926317,0.0175523446172829,0.0133936480509497,0.8466524285436,2599.17,118.015,77.8527,0.737331318372777,0.0334784394778961,0.0220852171769758,0.770809757850673,TRUE,TRUE,"TRA",898,159,99,0.337720948,0.059796916,0.037232042,"TRB",1228,15,14,0.573295985,0.007002801,0.006535948,TRUE,TRUE,TRUE,TRUE,TRUE
"Rab.AITL.SRR1213036",1182,439.155,38.7233,0.580963078518438,0.21584842702772,0.0190328321306202,0.796811505546158,2187.84,98.3509,54.5686,0.778902707566977,0.0350143439655774,0.0194272114451419,0.813917051532554,TRUE,TRUE,"TRA",789,252,9,0.519762846,0.166007905,0.005928854,"TRB",1959,22,12,0.794403893,0.00892133,0.00486618,TRUE,TRUE,TRUE,TRUE,TRUE
"Yoo.PAT1.RNA",86.1065,62.5564,51.9329,0.196765770042423,0.142950395348573,0.118674165818332,0.339716165390996,1233.76,43.9862,43.9702,0.722465100674372,0.0257574361393489,0.025748066860388,0.748222536813721,FALSE,TRUE,"TRA",90,42,13,0.202702703,0.094594595,0.029279279,"TRB",1862,14,11,0.738888889,0.005555556,0.004365079,FALSE,TRUE,TRUE,TRUE,TRUE
"Yoo.PAT2.RNA",396.661,67.076,21.2967,0.584324435388694,0.0988101825693275,0.0313723360833114,0.683134617958021,409.944,41.5759,40.4438,0.531988656727591,0.0539534843618656,0.052484346239875,0.585942141089456,TRUE,TRUE,"TRA",851,104,74,0.363054608,0.044368601,0.031569966,"TRB",603,9,5,0.436640116,0.006517017,0.003620565,TRUE,TRUE,TRUE,TRUE,TRUE
"Yoo.PAT3.RNA",120.586,79.0849,66.7172,0.130436487914111,0.0855452258391409,0.072167227136345,0.215981713753252,191.967,134.462,131.474,0.11825818987109,0.08283315739917,0.0809924479473641,0.20109134727026,FALSE,FALSE,"TRA",21,21,20,0.009497965,0.009497965,0.009045681,"TRB",46,21,12,0.028342575,0.012939002,0.007393715,FALSE,FALSE,TRUE,TRUE,TRUE
"Yoo.PAT4.RNA",381.431,37.3666,27.3627,0.483706452434909,0.0473859374973567,0.0346996299357962,0.531092389932266,81.8076,78.0814,53.5443,0.119791417124399,0.11433511748367,0.0784052774550771,0.234126534608069,TRUE,FALSE,"TRA",662,113,71,0.207393484,0.035401003,0.022243108,"TRB",8,6,6,0.007633588,0.005725191,0.005725191,TRUE,FALSE,TRUE,TRUE,TRUE
"Yoo.PAT5.RNA",485.968,142.193,82.1449,0.457427200350183,0.13384203465947,0.0773205470937299,0.591269235009653,1324.77,272.392,120.964,0.571747802047538,0.117559672467925,0.0522059686789997,0.689307474515463,FALSE,TRUE,"TRA",339,245,74,0.081529582,0.058922559,0.017797018,"TRB",691,76,46,0.26263778,0.028886355,0.017483846,TRUE,TRUE,FALSE,TRUE,TRUE
"Yoo.PAT6.RNA",103.376,51.514,46.8971,0.228879193582544,0.114054352830552,0.103832325001547,0.342933546413096,98.6832,72.3792,67.3827,0.152680190782163,0.111983296697516,0.104252836262071,0.264663487479679,FALSE,FALSE,"TRA",110,48,35,0.060307018,0.026315789,0.019188596,"TRB",33,28,16,0.029490617,0.025022341,0.014298481,FALSE,FALSE,TRUE,TRUE,TRUE
"Yoo.PAT7.RNA",343.112,100.099,14.4366,0.641067079763244,0.187023985221213,0.0269732011812762,0.828091064984457,1681.27,31.5441,19.2455,0.897862767418782,0.0168457611934638,0.0102778363322715,0.914708528612246,TRUE,TRUE,"TRA",409,108,58,0.229003359,0.060470325,0.032474804,"TRB",1311,19,11,0.716393443,0.010382514,0.006010929,TRUE,TRUE,TRUE,TRUE,TRUE
"Yoo.PAT8.RNA",383.686,25.7063,21.2988,0.630503517151551,0.0422426477978162,0.0349998913463286,0.672746164949367,257.929,57.4435,38.4958,0.423010592804912,0.0942089062795922,0.0631341616433178,0.517219499084504,TRUE,FALSE,"TRA",706,168,19,0.470353098,0.111925383,0.012658228,"TRB",344,52,48,0.317636196,0.048014774,0.04432133,TRUE,TRUE,TRUE,FALSE,TRUE
