pubid.Publish	Type	Lab	TRA.FPKM1	TRA.FPKM2	TRA.FPKM3	TRA.FPKM.p1	TRA.FPKM.p2	TRA.FPKM.p3	TRA.top2	TRB.FPKM1	TRB.FPKM2	TRB.FPKM3	TRB.FPKM.p1	TRB.FPKM.p2	TRB.FPKM.p3	TRB.top2	TRA.FPKM.stat	TRB.FPKM.stat	Strand1	TRA.CDR3.1	TRA.CDR3.2	TRA.CDR3.3	TRA.p1	TRA.p2	TRA.p3	Strand2	TRB.CDR3.1	TRB.CDR3.2	TRB.CDR3.3	TRB.p1	TRB.p2	TRB.p3	TRA.CDR3.stat	TRB.CDR3.stat	TRA.con	TRB.con	cons	Vα_ratio	Vβ_ratio	Clonality_based_on_V-seg
AITL-1	AITL	Palomero	307.767	107.407	103.643	0.164953486	0.057566792	0.055549406	0.222520278	524.349	503.247	264.253	0.163585718	0.157002343	0.082441307	0.320588061	FALSE	FALSE	TRA	109	109	55	0.068125	0.068125	0.034375	TRB	212	137	77	0.100904331	0.065207044	0.036649215	TRUE	TRUE	FALSE	FALSE	FALSE	4.0058084	3.888682437	FALSE
AITL-10	AITL	Palomero	2821.02	59.722	45.572	0.829100084	0.017552345	0.013393648	0.846652429	2599.17	118.015	77.8527	0.737331318	0.033478439	0.022085217	0.770809758	TRUE	TRUE	TRA	898	159	99	0.337720948	0.059796916	0.037232042	TRB	1228	15	14	0.573295985	0.007002801	0.006535948	TRUE	TRUE	TRUE	TRUE	TRUE	63.21298166	34.90161549	TRUE
AITL-11	AITL	Palomero	1182	439.155	38.7233	0.580963079	0.215848427	0.019032832	0.796811506	2187.84	98.3509	54.5686	0.778902708	0.035014344	0.019427211	0.813917052	TRUE	TRUE	TRA	789	252	9	0.519762846	0.166007905	0.005928854	TRB	1959	22	12	0.794403893	0.00892133	0.00486618	TRUE	TRUE	TRUE	TRUE	TRUE	41.86510447	41.89572208	TRUE
AITL-12	AITL	Yoo	86.1065	62.5564	51.9329	0.19676577	0.142950395	0.118674166	0.339716165	1233.76	43.9862	43.9702	0.722465101	0.025757436	0.025748067	0.748222537	FALSE	TRUE	TRA	90	42	13	0.202702703	0.094594595	0.029279279	TRB	1862	14	11	0.738888889	0.005555556	0.004365079	FALSE	TRUE	TRUE	TRUE	TRUE	2.862595773	29.05936748	TRUE
AITL-13	AITL	Yoo	396.661	67.076	21.2967	0.584324435	0.098810183	0.031372336	0.683134618	409.944	41.5759	40.4438	0.531988657	0.053953484	0.052484346	0.585942141	TRUE	TRUE	TRA	851	104	74	0.363054608	0.044368601	0.031569966	TRB	603	9	5	0.436640116	0.006517017	0.003620565	TRUE	TRUE	TRUE	TRUE	TRUE	21.77506374	11.16413146	TRUE
AITL-14	AITL	Yoo	120.586	79.0849	66.7172	0.130436488	0.085545226	0.072167227	0.215981714	191.967	134.462	131.474	0.11825819	0.082833157	0.080992448	0.201091347	FALSE	FALSE	TRA	21	21	20	0.009497965	0.009497965	0.009045681	TRB	46	21	12	0.028342575	0.012939002	0.007393715	FALSE	FALSE	TRUE	TRUE	TRUE	2.992794961	2.482840714	FALSE
AITL-15	AITL	Yoo	381.431	37.3666	27.3627	0.483706452	0.047385937	0.03469963	0.53109239	81.8076	78.0814	53.5443	0.119791417	0.114335117	0.078405277	0.234126535	TRUE	FALSE	TRA	662	113	71	0.207393484	0.035401003	0.022243108	TRB	8	6	6	0.007633588	0.005725191	0.005725191	TRUE	FALSE	TRUE	TRUE	TRUE	15.30541942	2.986106831	TRUE
AITL-16	AITL	Yoo	485.968	142.193	82.1449	0.4574272	0.133842035	0.077320547	0.591269235	1324.77	272.392	120.964	0.571747802	0.117559672	0.052205969	0.689307475	FALSE	TRUE	TRA	339	245	74	0.081529582	0.058922559	0.017797018	TRB	691	76	46	0.26263778	0.028886355	0.017483846	TRUE	TRUE	FALSE	TRUE	TRUE	7.646987214	13.2036143	TRUE
AITL-17	AITL	Yoo	103.376	51.514	46.8971	0.228879194	0.114054353	0.103832325	0.342933546	98.6832	72.3792	67.3827	0.152680191	0.111983297	0.104252836	0.264663487	FALSE	FALSE	TRA	110	48	35	0.060307018	0.026315789	0.019188596	TRB	33	28	16	0.029490617	0.025022341	0.014298481	FALSE	FALSE	TRUE	TRUE	TRUE	3.302762857	2.538669421	FALSE
AITL-18	AITL	Yoo	343.112	100.099	14.4366	0.64106708	0.187023985	0.026973201	0.828091065	1681.27	31.5441	19.2455	0.897862767	0.016845761	0.010277836	0.914708529	TRUE	TRUE	TRA	409	108	58	0.229003359	0.060470325	0.032474804	TRB	1311	19	11	0.716393443	0.010382514	0.006010929	TRUE	TRUE	TRUE	TRUE	TRUE	30.7005112	88.99816061	TRUE
AITL-19	AITL	Yoo	383.686	25.7063	21.2988	0.630503517	0.042242648	0.034999891	0.672746165	257.929	57.4435	38.4958	0.423010593	0.094208906	0.063134162	0.517219499	TRUE	FALSE	TRA	706	168	19	0.470353098	0.111925383	0.012658228	TRB	344	52	48	0.317636196	0.048014774	0.04432133	TRUE	TRUE	TRUE	FALSE	TRUE	19.22137867	8.192387221	TRUE
AITL-2	AITL	Palomero	449.572	98.2276	38.5497	0.390081877	0.085229522	0.033448567	0.475311399	1129.22	131.421	107.718	0.481109743	0.055992564	0.045893784	0.537102307	TRUE	TRUE	TRA	461	446	64	0.156165312	0.151084011	0.021680217	TRB	1024	41	31	0.407968127	0.016334661	0.012350598	TRUE	TRUE	TRUE	TRUE	TRUE	14.21021694	11.7031601	TRUE
AITL-20	AITL	Yoo	240.711	72.6199	50.5409	0.29855746	0.09007155	0.062686636	0.388629011	1043.77	103.577	87.6345	0.53289698	0.052881258	0.044741811	0.585778238	FALSE	TRUE	TRA	262	31	23	0.190962099	0.022594752	0.016763848	TRB	791	53	12	0.441652708	0.029592406	0.006700168	TRUE	TRUE	FALSE	TRUE	TRUE	6.199551255	13.09241223	TRUE
AITL-21	AITL	Rohr	228.512	13.2843	7.76751	0.713032474	0.041451378	0.024237182	0.754483852	933.028	28.2741	24.7408	0.865839304	0.026238041	0.022959179	0.892077345	TRUE	TRUE	TRA	232	26	13	0.635616438	0.071232877	0.035616438	TRB	2134	30	12	0.936375603	0.013163668	0.005265467	TRUE	TRUE	TRUE	TRUE	TRUE	31.12919069	38.85493193	TRUE
AITL-22	AITL	Rohr	302.856	93.3995	39.1439	0.52335585	0.161400714	0.067643332	0.684756565	110.032	29.4032	22.8505	0.269462089	0.072006759	0.055959571	0.341468848	TRUE	FALSE	TRA	315	23	14	0.334394904	0.024416136	0.014861996	TRB	55	24	4	0.146666667	0.064	0.010666667	TRUE	TRUE	TRUE	FALSE	TRUE	10.12304599	6.102063412	TRUE
AITL-23	AITL	Rohr	322.289	67.3479	54.9021	0.540185963	0.112881266	0.092020962	0.653067228	221.562	77.5355	15.996	0.51149606	0.178997765	0.036928223	0.690493825	FALSE	TRUE	TRA	88	5	4	0.451282051	0.025641026	0.020512821	TRB	133	17	1	0.707446809	0.090425532	0.005319149	TRUE	TRUE	FALSE	TRUE	TRUE	7.096939826	18.69826832	TRUE
AITL-24	AITL	Rohr	114.781	61.0304	25.564	0.396324091	0.210730154	0.088269217	0.607054244	1132.47	30.2219	10.0782	0.877051262	0.023405614	0.00780515	0.900456876	FALSE	TRUE	TRA	67	62	7	0.124304267	0.115027829	0.012987013	TRB	900	10	3	0.797165633	0.008857396	0.002657219	TRUE	TRUE	FALSE	TRUE	TRUE	6.877304021	115.3670199	TRUE
AITL-25	AITL	Rohr	119.586	15.7848	14.6697	0.44786098	0.059115582	0.054939426	0.506976562	221.427	21.0098	12.0953	0.588647306	0.055853	0.032154461	0.644500305	FALSE	TRUE	TRA	109	10	7	0.352750809	0.03236246	0.022653722	TRB	81	15	5	0.445054945	0.082417582	0.027472527	TRUE	TRUE	FALSE	TRUE	TRUE	9.227918771	20.04388481	TRUE
AITL-26	AITL	Rohr	19.6448	16.573	16.2007	0.076427845	0.064477046	0.063028618	0.140904892	72.5816	38.1624	36.909	0.12767226	0.067128306	0.064923554	0.194800566	FALSE	FALSE	TRA	3	3	2	0.019607843	0.019607843	0.013071895	TRB	16	12	6	0.055555556	0.041666667	0.020833333	FALSE	FALSE	TRUE	TRUE	TRUE	2.235570068	3.000460592	FALSE
AITL-27	AITL	Rohr	336.727	21.3034	18.6662	0.754770917	0.047751403	0.04184014	0.802522321	786.885	9.10426	8.25627	0.883555408	0.010222737	0.009270569	0.893778144	TRUE	TRUE	TRA	198	53	9	0.545454545	0.14600551	0.024793388	TRB	638	4	4	0.896067416	0.005617978	0.005617978	TRUE	TRUE	TRUE	TRUE	TRUE	19.18067952	96.41027486	TRUE
AITL-28	AITL	Rohr	113.842	9.34115	6.57787	0.797664245	0.065451251	0.046089595	0.863115496	302.734	9.45481	5.15728	0.875437718	0.027341155	0.014913678	0.902778873	TRUE	TRUE	TRA	21	2	2	0.724137931	0.068965517	0.068965517	TRB	176	4	2	0.902564103	0.020512821	0.01025641	TRUE	TRUE	TRUE	TRUE	TRUE	18.72690552	60.53361656	TRUE
AITL-29	AITL	Rohr	240.866	16.5565	14.0513	0.757852685	0.052092815	0.044210538	0.809945501	398.377	11.0782	10.7121	0.81326564	0.022615561	0.021868187	0.835881201	TRUE	TRUE	TRA	200	24	13	0.602409639	0.072289157	0.039156627	TRB	141	8	2	0.762162162	0.043243243	0.010810811	TRUE	TRUE	TRUE	TRUE	TRUE	18.32019101	38.22361628	TRUE
AITL-3	AITL	Palomero	136.349	71.9135	51.5308	0.155987138	0.082271091	0.058952702	0.238258229	169.226	101.772	83.4562	0.142553666	0.08573134	0.07030236	0.228285006	FALSE	FALSE	TRA	213	29	13	0.129878049	0.017682927	0.007926829	TRB	19	14	12	0.016550523	0.012195122	0.010452962	TRUE	FALSE	FALSE	TRUE	FALSE	4.041514977	3.247188346	FALSE
